"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 04 16:38:33 CST 2022","Thu Aug 04 16:38:33 CST 2022","376","Dong's测试套件","Dong's测试模块","testcase.TestDemo","testcase.TestDemo","testGet","testGet",""
"failed","Thu Aug 04 16:38:32 CST 2022","Thu Aug 04 16:38:32 CST 2022","33","Dong's测试套件","Dong's测试模块","testcase.TestDemo","testcase.TestDemo","test1","test1",""
